#   Latitude   Longitude           x           y  Code Location 
    46.24402  -122.07103     0.00000     0.00000       CAREY1    
    46.31432  -121.90357     0.00000     0.00000       CAREY20   
    46.66763  -121.09461     0.00000     0.00000       CAREY66   
    46.73862  -120.79026     0.00000     0.00000       CAREY65   
    46.94422  -120.23572     0.00000     0.00000       CAREY61   
    47.11020  -119.82722     0.00000     0.00000       CAREY60   
    47.10750  -119.33204     0.00000     0.00000       CAREY59   
    47.08976  -119.04639     0.00000     0.00000       CAREY58   
    47.18774  -118.38749     0.00000     0.00000       CAREY50   
    46.55153  -122.27420     0.00000     0.00000       MORTON    
    46.53461  -122.48444     0.00000     0.00000       MOSSYROCK 
    46.51557  -122.58064     0.00000     0.00000       ZERO1     
    46.28927  -122.38057     0.00000     0.00000       ZERO2     
    46.15799  -122.22019     0.00000     0.00000       ZERO3     
    46.16969  -121.94199     0.00000     0.00000       ZERO4     
    46.15473  -121.72912     0.00000     0.00000       ZERO5     
    46.14391  -121.42942     0.00000     0.00000       ZERO6     
    46.20645  -121.01211     0.00000     0.00000       ZERO7     
    46.19882  -120.48630     0.00000     0.00000       ZERO8     
    46.21223  -120.00160     0.00000     0.00000       ZERO9     
    47.43408  -120.29860     0.00000     0.00000       ZERO10    
    47.31251  -120.69668     0.00000     0.00000       ZERO11    
    47.18998  -121.03930     0.00000     0.00000       ZERO12    
    47.07555  -121.51592     0.00000     0.00000       ZERO13    
    46.93412  -121.85886     0.00000     0.00000       ZERO14    
    46.76922  -122.19835     0.00000     0.00000       ZERO15    
    46.60746  -122.54435     0.00000     0.00000       ZERO16    
    46.50250  -122.59753     0.00000     0.00000       ZERO17    
    46.37848  -122.45773     0.00000     0.00000       ZERO18    
    46.25248  -122.32189     0.00000     0.00000       ZERO19    
    46.21122  -119.54898     0.00000     0.00000       ZERO20    
    46.20459  -119.11273     0.00000     0.00000       ZERO21    
    46.06434  -118.35202     0.00000     0.00000       ZERO22    
    46.00278  -117.86435     0.00000     0.00000       ZERO23    
    45.91521  -117.26884     0.00000     0.00000       ZERO24    
    45.75386  -116.31183     0.00000     0.00000       ZERO25    
    45.70491  -115.60763     0.00000     0.00000       ZERO26    
    48.47602  -114.39371     0.00000     0.00000       ZERO27    
    48.49176  -115.21806     0.00000     0.00000       ZERO28    
    48.49741  -115.63047     0.00000     0.00000       ZERO29    
    48.29764  -116.54271     0.00000     0.00000       ZERO30    
    48.32150  -117.28466     0.00000     0.00000       ZERO31    
    48.20839  -118.18046     0.00000     0.00000       ZERO32    
    48.27079  -118.70632     0.00000     0.00000       ZERO33    
    47.92290  -119.39868     0.00000     0.00000       ZERO34    
    47.58697  -114.03059     0.00000     0.00000       ZERO35    
    45.81134  -113.95606     0.00000     0.00000       ZERO36    
    45.77819  -112.71924     0.00000     0.00000       ZERO37    
    45.98599  -112.40231     0.00000     0.00000       ZERO38    
    46.39735  -112.41281     0.00000     0.00000       ZERO39    
    46.80866  -112.42355     0.00000     0.00000       ZERO40    
    47.01431  -112.42900     0.00000     0.00000       ZERO41    
    47.42560  -112.44010     0.00000     0.00000       ZERO42    
    47.83685  -112.45144     0.00000     0.00000       ZERO43    
    48.24806  -112.46304     0.00000     0.00000       ZERO44    
    48.65925  -112.47491     0.00000     0.00000       ZERO45    
    48.50472  -112.16091     0.00000     0.00000       ZERO46    
    48.49343  -112.98580     0.00000     0.00000       ZERO47    
    48.48741  -113.98189     0.00000     0.00000       ZERO48    
    48.48741  -113.98189     0.00000     0.00000       ZERO48    
